,label,content
93,T,LIVE -- Italy considers closing all school and colleges via @BBCNews https://t.co/ldB8RUdeop #coronavirus #Covid19 #2019nCoV #virus #health #healthcare #medicine #science #research #travel #travellers #economy #politics #RegionalSecurity #WHO
94,T,"The founders of Desert Door sotol distillery in Texas have turned to producing hand sanitizer that is being donated to first responders, retirement centers and health care workers during the COVID-19 crisis"
95,F,Marathi newspaper reports conspiracy theory of Coronavirus being a bioweapon
96,U,"It would be a wonderful gesture for @realDonaldTrump to travel to Wuhan, China, to show our confidence and support of China’s efforts"
97,F,Cristiano Ronaldo transformed his hotels into hospitals for COVID-19 patients
98,T,"Jennifer Kates, the director of global health and HIV policy at the Kaiser Family Foundation, said in a phone interview, “there could be other costs incurred.” Visits to the doctor’s office and the emergency room can cost patients money, she said, noting that some high-deductible insurance plans could effectively charge patients who go to the ER $1,000 or more"
99,T,"Lady Gaga has decided to postpone the release of her forthcoming album, “Chromatica,” for now"
100,T,Hackers are cashing in on coronavirus scare to send malware: How to stay safe https://t.co/NNWBDjD9o3 https://t.co/CO7omicSA0
101,U,CORONAVIRUS INFECTS 20K Thank GOD President Trump is building our BOARDER WALL Other wise 20K infected could be in the USA with DEMOCRATS POLICY OF OPEN BOARDERS WHO FOUGHT AGAINST WALL Other things come in besides illegals
102,T,Republicans storm out of coronavirus briefing after Democrat rips Trump's response https://t.co/qHLmYjFUy5 via @politico
103,F,COVID-19 was caused by 5G antennas
104,U,Europe's biggest oil company warns of 'tough and uncertain' market as coronavirus fears intensify
105,U,"India bans export of protective masks, clothing amid coronavirus outbreak https://t.co/cL1dtS94cD https://t.co/CrvXA8bxPD"
106,T,"A 103 year-old Chinese grandmother has made a full recovery from Covid-19 after being treated for 6 days in Wuhan, China"
107,U,nytimes Pence Will Control All Coronavirus Messaging From Health Officials. Poor tRumpsters ....they are gonna suffer
108,U,"Doctors took this baby to the neonatal intensive care unit as soon as he was born. But now, his parents can't visit him anymore because of concerns about coronavirus"
109,T,"Coronavirus is everywhere. BOOK THAT FLIGHT. Take that trip. You probably won’t die from it, but even if you do... You wanna die with the Eiffel Tower in the background, or you wanna die with I-20 in the background? You decide"
110,F,CDC testing several people in US for possible Wuhan virus
111,F,Images of money thrown on streets by helpless Italians
112,F,Within 48 to 72 Hours… The president will order a two week mandatory quarantine for the nation. Stock up on whatever you guys need to make sure you have a two week supply of everything. Please forward to your network
113,T,Newspaper headlines: Italy in coronavirus 'chaos' and quarantine 'farce' https://t.co/WH184b1bgl #London #News https://t.co/2RtfYUmbka
114,T,Italy imposes nationwide travel restrictions in desperate bid to contain COVID-19
115,U,@MoHFW_INDIA @PMOIndia @drharshvardhan @AshwiniKChoubey @PIB_India @mygovindia @PIBHomeAffairs @MEAIndia @MoCA_GoI @DDNewslive @airnewsalerts #covid19ind 🎯Fact is PM/HM Sleeping Since DEC-MAR 1⃣Why No Rule made 24Hour bfr Corona Negative Certificate for check in 2⃣Check out Why No Thermal+Swab+Blood Test at Airport 3⃣Why No Set Up 37State Capitals+731Dist LAB+ISOLATION WARD+STAFF 4⃣Why Health Budget 6Yrs 1.17
116,F,Publication broadcasts a video of “the market of terror from which the coronavirus originated”
117,T,We vaccinated our first born son we didn’t know any better we followed the cdc schedule he’s now autistic. My daughter is unvaccinated and is healthy she’s never had a fever no ear aches. She eats natural foods no processed bullshit. Wish we would have researched more
118,T,Expectant mothers who deliver their babies at New York-Presbyterian hospitals in and around the Big Apple will now have to go through the process without their partners at their side – all because of the coronavirus
119,T,Nancy Pelosi tells reporters to bow to each other eastern style to avoid catching the Corona Virus
120,T,Amazon deleted 1 million items for price gouging or false advertising about coronavirus https://t.co/wNzJQzyEP0 #Coronavirus #COVID19
121,F,Soaking in the Sea Can Treat Corona Covid-19 Virus Infection
122,T,SpaceX joins automakers' offer to build ventilators for coronavirus patients
123,F,"A FB user published a collage of tweets claiming novel coronavirus has reached Cebu province and Boracay Island, which are popular tourists destinations"
124,F,Ecuadorean President Lenin Moreno and family quarantined in luxury Galapagos home
125,U,"BREAKING: Hubei province has confirmed 1291 new cases of Wuhan coronavirus on Monday *alone*, and 24 new deaths have been reported, the provincial gov’t said in a statement"
126,F,"A video of an orangutan washing its hands has been viewed millions of times in Facebook, Twitter and YouTube posts which claim the animal was imitating its zookeepers during the novel coronavirus pandemic"
127,T,"Here's a clue on how widespread the #Coronavirus is now. #Egypt's total rose yesterday from 3 to 48, based on a single tour boat. 45/150 on board tested +ve; 19 of these r foreigners; many/most not yet symptomatic. One case was prev. exported to Taiwan. https://t.co/fIOEuW7m2s"
128,F,King Vajiralongkorn has been secretly cleaning the streets of Bangkok to combat COVID-19
129,T,A man in China left 500 face masks at a police station
130,F,Miles Kwok: China military admitted that Conoravirus is made by China. It is a human-made bio-weapon
131,T,"#coronavirus Italy was the first country to deny Chinese citizen entry to EU, now they have the first deaths. #InstantKarma"
132,F,the UK Government has seized control of Scotland's Coronavirus testing kits
133,F,Chinese President Xi Jinping visited Muslims to understand why Muslims are not contracting COVID-19
134,U,"Central American countries limit entry from China to fight coronavirus ""If China fails to contain the coronavirus outbreak, the price will be paid by all"""
135,F,Video of Muslims gathered on roads despite the curfew to curb the spread of Coronavirus
136,U,"Viral outbreak that began in China has infected more than 7,700 people on the mainland and dozens in other countries"
137,F,Coronavirus is Nothing But Sarin Gas
138,F,There is a coronavirus-related travel page that provides guidance for international travelers
139,F,A Turkish citizen in Yozgat ate yogurt and soap together to get rid of the virus
140,T,"Sickened 644 globally, killed 17 in Wuhan....ou tof a population of 7 billion....Not really an emergency"
141,F,“Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The Coronavirus.”
142,F,"Deputy health minister and head of Iran's taskforce on Covid-19, Iraj Harirchi, had previously declared that ""quarantines belong to the Stone Age"", before admitting that he had tested positive for the disease"
143,F,False Translation Infects football player Alexis Sanchez With coronavirus
144,F,A image of a 24-year-old doctor that coronavirus killed
145,F,"It is a designed virus ordered to laboratories by Christine Lagarde when she was in the IMF, and she said that “Old people live too long and this is a risk for the global economy. We must do something, urgently”"
146,F,mostly Lions released on Russian streets by Vladimir Putin to force people inside
147,F,"Case of cov in Alberta, Canada"
148,T,"BREAKING NEWS: Murphy signs anti-vaping bill based on lies & misinformation. CDC data shows 78% teens did NOT name flavors as a reason for trying vapor products, so flavor ban is pointless"
149,F,There no coronavirus in Africa because there is no money there and they cannot get into debt with the International Monetary Fund
150,U,BREAKING: Coronavirus death toll reaches 1765
151,U,"These ex-Facebook employees just raised millions for a new startup that can help virtual conferences be as useful and interesting as real-world events, amid the spread of coronavirus https://t.co/e52urCQ9t5"
152,U,"President Trump told US governors that his administration was preparing to issue new, potentially more relaxed social distancing guidelines"
153,T,Dr. Oz on FDA approving off-label use of anti-malaria drug to treat COVID-19
154,F,"mostly Tea can cure COVID-19 patients suggested by China’s whistleblower doctor Li Wenliang, the news was published by CNN"
155,F,A dog vaccine can be used against coronavirus in people
156,F,Mélange Of Unrelated Videos From China Shared Misleadingly In Context To Recent Corona Virus Outbreak
157,T,Officials confirm novel coronavirus in Nepali man who returned from Wuhan earlier this month
158,T,"Chicago Mayor Lori Lightfoot is warning residents not to go on long runs or bike rides in the city’s latest effort to crack down over the spread of coronavirus in the city, even cautioning that residents could be arrested should they break the rules"
159,F,"#Belgium prohibits sexual acts of more that 3 people after 500 person #orgy spread #coronavirus. However, #bestiality is still allowed.”"
160,F,A claim that 500 body bags were delivered to an ice skating rink outside the Australian city of Adelaide has been shared widely on Facebook during the novel coronavirus pandemic
161,F,"The death toll from China's coronavirus outbreak has risen to more than 900, as plans to restart the world's second-largest economy on Monday faltered"
162,U,"@JRobertSmith1 China has well over a billion people, they can't support them. Proof of that is them having to eating rats because there's not enough food. The power's that be don't mind thinning their herds to a manageable number. It's all part of their manifesto"
163,F,Brazillian President Declares “Gaza is the Only coronavirus Free City”
164,F,The Government is not getting the test to detect COVID-19 from the company Genomica because it is run by the sister of a former opposition minister
165,F,"18 countries, including the United States (US) and the United Kingdom (UK), want India's Prime Minister Narendra Modi to lead a task force to tackle the coronavirus pandemic"
166,U,Coronavirus ‘is being weaponised as a way to be openly racist’
167,U,"The US Army says mitigation efforts to blunt coronavirus' spread ""have proven insufficient"" within it and it is suspending ""non-mission essential functions,"" including certain non-critical and physical fitness training, according to an internal directive"
168,F,you will know if you have covid-19
169,T,"There are more first person accounts of Wuhan's gridlock here. Airports. Streets. Hospitals. Again, tens of millions are trapped within this, many unknowingly incubating. Their ability to freely roam is shrinking w/ every comment from Chinese authorities"
170,F,There is a Russian medicine that could be use against Sars-Cov-2
171,F,New virus stays at the throat level for four days
172,F,A case of the novel coronavirus was registered in a hospital in Maranhão
173,F,Is this the Biohazard Container Discovery Photo at the American Consulate General in Wuhan
174,F,Mostly Novel coronavirus can be eliminated by drinking lots of water and gargling with warm water mixed with salt or vinegar
175,T,The Trump administration is suspending entry for 30 days of most foreign nationals who have been in any of 26 European nations in past two weeks. #coronavirus #COVID19
176,F,There was a car crash in Wuhan due to a police road block created due to COVID-19
177,F,"A woman who travelled to Italy with her husband for her honeymoon, tested positive for COVID-19 and then fled to New Delhi and Agra and that she resisted treatment"
178,T,"A custodian with the New York Police Department died Thursday from the coronavirus, the nation's largest police agency said"
179,U,Ban Chinese from wuhan Pls Lockdown
180,F,Taiwanese president and the former president were infected. The former president died
181,T,"Bakistani bachhe stand in full solidarity with all weather fraand and refuse to leave #coronarovirus affected Cheen. This is true love - to live together in happiness &amp; die together in disease, just like Mian - Biwi. Maa sha'Allah! https://t.co/kYZmAROM4L"
182,U,Turns out way more countries had visitors traveling in and out from Wuhan. Google 109 countries
183,F,Was Corona Antivirus Discovered by Israeli and Chinese Doctors
184,F,Cigarette smoke spreads coronavirus
185,U,"#cse252schlpriv The CON team of the privacy debate looks at the current ineffectiveness of current flagging technology taking away from resources, like mental health programs and metal detectors, that could be effective to solve the school shooting epidemic"
186,U,"World is approaching coronavirus tipping point, experts say https://t.co/seCdCBvE5j"
187,F,New York hospitals treating coronavirus patients with vitamin C
188,F,Vinegar is more effective than alcohol-based hand sanitizers for killing the novel coronavirus
189,F,The Korean Government took every facial mask from factorys to send masks to China
190,T,BREAKING: Beijing has cancelled Chinese New Year celebrations due to the outbreak of the Wuhan virus
191,F,Lonely Ka’bah from Tawaf after Saudi Arabia makes policy on Corona Virus
192,F,Chlorine dioxide will help get rid of the new virus from China
193,T,"Watch it.this Covid outbreak will not even stop our travel blogger from holidaying around, raising fists and... Blogging"
194,U,Coronavirus hotel still open despite first UK victims confirmed as guests
195,U,"The coronavirus can live for up to 28 DAYS!!! on a hard surface. But hey, let's not interrupt shipping from China"
196,F,Xi Jinping visits mosque for coronavirus
197,F,"Donald Trump tweeted, “Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can’t make vaccines when being bombed, not have been possible without peace I created in Israel!”"
198,T,BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth
199,F,"If you get sick with coronavirus, Donald Trump can make you stay home"
200,F,Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19)
201,U,"A chartered jet carrying U.S. consulate employees from Wuhan, China, the center of the #coronavirus outbreak, is set to land in Ontario this week"
202,U,"Top Harvard scientist charged with lying to the DOD about his work for a Chinese recruitment program. Lieber received some $1.74M for research he conducted for China's *WUHAN* University of Technology, plus $50,000K per month salary"
203,F,"I Heard That The U.S. Government Is Sending $1,000 Checks"
204,F,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon
205,U,"@ForeignPolicy @BeijingPalmer china wants transparency? their brainwashed officials won't do that. their habit is to report whatever their bosses want to hear, for the sake of survival. you can't change those robots overnight. #ChinaCoronaVirus #WuhanPneumonia #WuhanCoronavirus"
206,T,Coronavirus needs to be gone by July. Theres summer holidays that need attending
207,U,"Today, @realDonaldTrump spoke with President Xi Jinping of China. President Trump expressed confidence in China’s strength and resilience in confronting the challenge of the 2019 novel coronavirus outbreak"
208,F,Children can’t get the new coronavirus
209,F,Employer covered up part of a poster on virus prevention that advised people to stay home when sick
210,U,"This is a problem: “China’s top leader, Xi Jinping, has promised drastic measures to contain the virus.” Drastic measures can make things worse. We need smart measures"
211,F,Chain message with a notification from the Spaniard department of Health
212,F,Blood donors automatically get a coronavirus test
213,U,Hong Kong man who ‘cheated woman by claiming he had 10 boxes of face masks’ held in custody
214,F,Wearing rubber gloves while out in the public is effective in preventing the virus
215,F,"My son, who works as a public servant in the Central government, got one box of face mask while the public is restricted to two per week"
216,U,"#coronavirus # any virus bacteria protection for children # good to have on hand for trips to doctor, air port, etc... # Our favorite pattern #Dinosaurmask # Amazon has lots of choices overnight https://t.co/AzANdjfFYJ"
217,F,"A Chinese intelligence officer who claims to reveal the true origins of the current coronavirus pandemic. According to the officer, the novel Coronavirus is not a virus at all but a bioweapon that was leaked when a Chinese ""traitor"" tried to sell it to the United States"
218,T,"Coronavirus sends India into lockdown as trains halted, Modi says 'please save yourself'"
219,F,Swarms of Crows Attack The Streets of Wuhan
220,F,BIll Gates contributed to the spread of coronavirus
221,T,"Chicago cracks down over coronavirus, tells residents don’t go on long runs or bike rides"
222,F,A video circulating on WhatsApp on a COVID-19 patient escaping from an hospital in Costa Rica
223,F,Lysol Products Can Kill Novel coronavirus
224,F,The indian government distributing free face masks
225,U,China announces agreement with US to phase out additional tariffs https://t.co/MGs8odFtPB https://t.co/kC8okrlaCs
226,F,Amazon announced that it was suspending all deliveries except for medical supplies during the COVID-19 pandemic
227,F,A publication claiming the city of San José in Costa Rica has created mass graves for COVID-19 victims
228,T,"It's the history, the 404, the deleted posts, the appeared activists and journalists, the arrested citizens who spread the news, the system that makes people of Wuhan being scared of speaking out and just trying to save themselves and their families"
229,F,No Video of a woman eating bat soup and its relation with the coronavirus outbreak
230,F,anyone in the US could get tested for COVID-19
231,T,A state governor in Mexico sparked outrage Wednesday when he said poor people are immune to the coronavirus
232,T,"Coronaviruses as a group are more susceptible to inactivation from ultraviolet radiation than other groups of viruses, like adenoviruses"
233,F,Coronavirus killed 10.000 people in Wuhan
234,F,"Indian Prime Minister Narendra Modi: China has no faith, no election, and no freedom. China has only GDP but is losing it. Besides, nothing left in this country but violence and lies"
235,F,"Breaking News: An individual in Washington State is infected with the Wuhan coronavirus, the first such case in the U.S. The outbreak, which began at a market in China, has now spread to at least four other countries"
236,T,I'm a nurse and all the nurses I know say we have actually slowed down since flu season and other viruses have made ER slower. I'm very confused by this...even ssm slu hospital had to dispel a fake rumor saying they didn't have a flood of patients and that was a lie
237,U,"Dr Rupert Beale, group leader in cell biology of infection at The Francis Crick Institute, said: “There is good reason to avoid ibuprofen as it may exacerbate acute kidney injury brought on by any severe illness, including severe Covid-19 disease"
238,F,Coronavirus is just “the damn flu.”
239,F,Photos of coronavirus patients being treated on the road in Italy
240,U,Hope it’s better than the Iowa caucus app? https://t.co/dE6PazRvlZ
241,U,The 2019-nCoV virus shows that we’ve built a better world https://t.co/unJG4BVzmY #MAGA #TRUMP
242,T,"#BREAKING PRC has ordered its Central Command soldiers in PLA to seal off #Wuhan - a city of 11 million - just seal it off and be in biological warfare gear when doing it. Yet, CDC and WHO are ""nothing to see here move on"
243,T,"BREAKING: The University of Washington, with more than 50,000 students, is closing classrooms and moving to remote learning amid the coronavirus outbreak"
244,F,"Coronavirus (COVID-19) is ‘mix of SARS, HIV, tuberculosis and malaria’"
245,T,"The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to Wuhan, China. Additional cases in travelers have been reported in Thailand, Japan, and The Republic of Korea"
246,U,The first case of human-to-human infection of the coronavirus was reported in Europe. A German man was infected by a colleague visiting from China
247,U,"We are in very close communication with China concerning the virus. Very few cases reported in USA, but strongly on watch. We have offered China and President Xi any help that is necessary. Our experts are extraordinary"
248,F,Coronavirus has not “hit” Ghana
249,T,Travel plans on hold. Train stations quiet. Movie theaters empty. Cities locked down. A mysterious virus has gripped the world’s most populous country. Economists are beginning to worry that the virus could spell disaster to an economy already hobbled
250,F,President Donald Trump said COVID-19 is Democrats’ “new hoax.”
251,F,Norwegian scientists found that coronavirus is susceptible to high-intensity sound
252,U,China says U.S. move to raise travel warning is inappropriate
253,F,#COVID test on that tiger
254,U,@MackayIM Gotta love how the person quoted as not caring about the name causing stigma for China doesn’t seem to be from China
255,T,"China deaths rise to 9 with 440 infections. Japan 1, Korea 1, Thailand 3, Taiwan 1"
256,T,Y’all tripping the coronavirus is just a cold that can lead to a deadly respiratory infection that basically k*lls you by making you drown in your own snot from the inside and as you gasp for air begging for God to help praying it’s not your last you realize he cannot hear you
257,F,The vaccine used to protect cattle from the bovine coronavirus would be effective in vaccinating against the novel coronavirus
258,F,I remember my family and a lot of you being sick for 2-4 weeks with unknown strain of flu with the same symptoms as covid-19. Now that a team of doctors have been able to identify/diagnose what it is and name it suddenly it’s a big deal. NEWS FLASH!!!! Half of you idiots already had it and got over it!
259,F,“Some Japanese people infected with the novel coronavirus were refused from a charter flight from Wuhan to Tokyo (on Jan.30) without any Japanese legal basis.”
260,F,The coronavirus is simply the common cold
261,T,@USATODAY corona virus Alert ! Live map of corona virus tracking. Stay safe and know infected areas. check live map here https://t.co/u3pklk5L9l https://t.co/L68uWANX5l
262,T,"Roberto Stella, president of the Order of Doctors in Varese, died at age 67 from respiratory failure after contracting the coronavirus"
263,T,Video claiming to be from #Wuhan in #China as the city starts to implement their new rule of not allowing anyone to leave due to the #WuhanCoronavirus. https://t.co/Fsbs0GH9wt
264,U,More than half of China extends shutdown over virus
265,F,"Facebook posts shared thousands of times recommend various practices to prevent COVID-19, including gargling salt water, drinking tea and avoiding ice cream"
266,U,"CMS COP13: Not pangolins, illegal trade to blame for coronavirus https://t.co/aBVSAnEyMc https://t.co/nu9kq0Ug49"
267,F,Mostly Saint Luke’s Hospital of USA says that consuming alcohol can reduce the risk of COVID-19
268,F,"WHO confirmed 50 new cases in Guayaquil, in Ecuador"
269,F,Says the CDC recommends men shave their beards to protect against coronavirus
270,T,"Most quarantine decisions are up to states and localities, rather than the CDC"
271,U,@markmq2008 @cnni @jgriffiths China created the virus
